"code
culture",libelle culture,"identifiant
groupe culture","code groupe
culture","libelle groupe
culture","code groupe
intermédiaire","libelle groupe
intermédiaire",id_group,id
FFO,autre_feverole_fourragere,16,fou,fourrage,fou_fabacees,fourrage_fabacees,32,95
GES,gesse,16,fou,fourrage,fou_fabacees,fourrage_fabacees,32,96
JO5,jarosse_2015,16,fou,fourrage,fou_fabacees,fourrage_fabacees,32,97
JO6,jarosse_2016,16,fou,fourrage,fou_fabacees,fourrage_fabacees,32,98
JO7,jarosse_2017,16,fou,fourrage,fou_fabacees,fourrage_fabacees,32,99
JO8,jarosse_2018,16,fou,fourrage,fou_fabacees,fourrage_fabacees,32,100
JOD,jarosse_deshyd,16,fou,fourrage,fou_fabacees,fourrage_fabacees,32,101
JOS,autre_jarosse,16,fou,fourrage,fou_fabacees,fourrage_fabacees,32,102
LEF,lentille_fourragere,16,fou,fourrage,fou_fabacees,fourrage_fabacees,32,103
LFH,autre_lupin_fourrager_hiver,16,fou,fourrage,fou_fabacees,fourrage_fabacees,32,104
LFP,autre_lupin_fourrager_printemps,16,fou,fourrage,fou_fabacees,fourrage_fabacees,32,105
LH5,lupin_fourrager_hiver_2015,16,fou,fourrage,fou_fabacees,fourrage_fabacees,32,106
LH6,lupin_fourrager_hiver_2016,16,fou,fourrage,fou_fabacees,fourrage_fabacees,32,107
LH7,lupin_fourrager_hiver_2017,16,fou,fourrage,fou_fabacees,fourrage_fabacees,32,108
LO7,lotier_2017,16,fou,fourrage,fou_fabacees,fourrage_fabacees,32,109
LOT,lotier,16,fou,fourrage,fou_fabacees,fourrage_fabacees,32,110
LP5,lupin_fourrager_printemps_2015,16,fou,fourrage,fou_fabacees,fourrage_fabacees,32,111
LP6,lupin_fourrager_printemps_2016,16,fou,fourrage,fou_fabacees,fourrage_fabacees,32,112
LP7,lupin_fourrager_printemps_2017,16,fou,fourrage,fou_fabacees,fourrage_fabacees,32,113
MC5,melange_leg_fou_2015,16,fou,fourrage,fou_fabacees,fourrage_fabacees,32,114
MC6,melange_leg_fou_2016,16,fou,fourrage,fou_fabacees,fourrage_fabacees,32,115
MC7,melange_leg_fou_2017_herb_entre_elles,16,fou,fourrage,fou_fabacees,fourrage_fabacees,32,116
MC8,melange_leg_fou_2018_herb_entre_elles,16,fou,fourrage,fou_fabacees,fourrage_fabacees,32,117
ME5,melilot_2015,16,fou,fourrage,fou_fabacees,fourrage_fabacees,32,118
ME6,melilot_2016,16,fou,fourrage,fou_fabacees,fourrage_fabacees,32,119
ME7,melilot_2017,16,fou,fourrage,fou_fabacees,fourrage_fabacees,32,120
ME8,melilot_2018,16,fou,fourrage,fou_fabacees,fourrage_fabacees,32,121
MED,melilot_deshyd,16,fou,fourrage,fou_fabacees,fourrage_fabacees,32,122
MEL,autre_melilot,16,fou,fourrage,fou_fabacees,fourrage_fabacees,32,123
MH5,melange_leg_fou_2015_herb,16,fou,fourrage,fou_fabacees,fourrage_fabacees,32,124
MH6,melange_leg_fou_2016_herb,16,fou,fourrage,fou_fabacees,fourrage_fabacees,32,125
MH7,melange_leg_fou_2017_herb,16,fou,fourrage,fou_fabacees,fourrage_fabacees,32,126
MH8,melange_leg_fou_2018_herb,16,fou,fourrage,fou_fabacees,fourrage_fabacees,32,127
MIN,minette,16,fou,fourrage,fou_fabacees,fourrage_fabacees,32,128
ML5,melange_leg_fou_2015_herb_entre_elles,16,fou,fourrage,fou_fabacees,fourrage_fabacees,32,129
ML6,melange_leg_fou_2016_herb_entre_elles,16,fou,fourrage,fou_fabacees,fourrage_fabacees,32,130
ML7,melange_leg_fou_2017_herb_entre_elles,16,fou,fourrage,fou_fabacees,fourrage_fabacees,32,131
ML8,melange_leg_fou_2018_herb_entre_elles,16,fou,fourrage,fou_fabacees,fourrage_fabacees,32,132
MLC,melange_leg_fou_cereale,16,fou,fourrage,fou_fabacees,fourrage_fabacees,32,133
MLD,melange_leg_deshyd_entre_elles,16,fou,fourrage,fou_fabacees,fourrage_fabacees,32,134
MLF,melange_leg_fou,16,fou,fourrage,fou_fabacees,fourrage_fabacees,32,135
MLG,melange_legumineuses_preponderantes_au_semis_graminees_fourrageres_temporaire,16,fou,fourrage,fou_fabacees,fourrage_fabacees,32,136
MLS,melange_legumineuses_non_fourrageres_prep,16,fou,fourrage,fou_fabacees,fourrage_fabacees,32,137
PFH,autre_pois_fourrager_hiver,16,fou,fourrage,fou_fabacees,fourrage_fabacees,32,138
PFP,autre_pois_fourrager_printemps,16,fou,fourrage,fou_fabacees,fourrage_fabacees,32,139
PH5,pois_fourrager_hiver_2015,16,fou,fourrage,fou_fabacees,fourrage_fabacees,32,140
PH6,pois_fourrager_hiver_2016,16,fou,fourrage,fou_fabacees,fourrage_fabacees,32,141
PH7,pois_fourrager_hiver_2017,16,fou,fourrage,fou_fabacees,fourrage_fabacees,32,142
