id,code,name,source,grp1,code_grp1,name_grp1,grp2,code_grp2,name_grp2,keep_ag
215,CAB,caroube,rpg,22,fruit_coq,fruits_a_coque,40,fruit_coq,fruits_a_coque,1
216,CTG,chataigne,rpg,22,fruit_coq,fruits_a_coque,40,fruit_coq,fruits_a_coque,1
217,NOS,noisette,rpg,22,fruit_coq,fruits_a_coque,40,fruit_coq,fruits_a_coque,1
218,NOX,noix,rpg,22,fruit_coq,fruits_a_coque,40,fruit_coq,fruits_a_coque,1
219,PIS,pistache,rpg,22,fruit_coq,fruits_a_coque,40,fruit_coq,fruits_a_coque,1
220,OLI,oliveraie,rpg,23,oliv,oliviers,41,oliv,oliviers,1
221,AAR,plante_a_non_perennes,rpg,24,a_indus,autres_cult_indus,42,a_indus,autres_cult_indus,1
222,AME,plante_a_parfum_medicinale_non_perenne,rpg,24,a_indus,autres_cult_indus,42,a_indus,autres_cult_indus,1
223,ANE,aneth,rpg,24,a_indus,autres_cult_indus,42,a_indus,autres_cult_indus,1
224,ANG,angelique,rpg,24,a_indus,autres_cult_indus,42,a_indus,autres_cult_indus,1
225,ANI,anis,rpg,24,a_indus,autres_cult_indus,42,a_indus,autres_cult_indus,1
226,ARP,plante_aromatique_perenne_autre_que_vanille,rpg,24,a_indus,autres_cult_indus,42,a_indus,autres_cult_indus,1
227,BAR,bardane,rpg,24,a_indus,autres_cult_indus,42,a_indus,autres_cult_indus,1
228,BAS,basilic,rpg,24,a_indus,autres_cult_indus,42,a_indus,autres_cult_indus,1
229,BRH,bourrache_temporaire,rpg,24,a_indus,autres_cult_indus,42,a_indus,autres_cult_indus,1
230,CAV,carvi,rpg,24,a_indus,autres_cult_indus,42,a_indus,autres_cult_indus,1
